"acceptedName","specimenCount","propContemporary","logSpecimenCount","yearPublished","Threatened"
"Amanita biovigera",3,0.333333333333333,1.09861228866811,1951,NA
"Amanita bisporigera",1512,0.775132275132275,7.32118855673948,1906,NA
"Amanita bivolvata",5,0,1.6094379124341,1909,NA
"Amanita breckonii",33,0.848484848484849,3.49650756146648,1982,NA
"Amanita brunneolocularis",69,0.91304347826087,4.23410650459726,1992,NA
"Amanita brunnescens",1019,0.525024533856722,6.92657703322272,1918,NA
"Amanita caesarea",1941,0.502833590932509,7.57095858316901,1755,NA
"Amanita caesareoides",187,0.79144385026738,5.23110861685459,1950,NA
"Amanita calyptratoides",99,0.717171717171717,4.59511985013459,1909,NA
"Amanita calyptroderma",657,0.898021308980213,6.48768401848461,1909,"0"
"Amanita canescens",123,0.991869918699187,4.81218435537242,1982,NA
"Amanita ceciliae",2260,0.684513274336283,7.72312009226633,1854,NA
"Amanita chlorinosma",291,0.240549828178694,5.67332326717149,1878,NA
"Amanita chrysoleuca",6,0.666666666666667,1.79175946922805,1983,NA
"Amanita cinereopannosa",38,0.421052631578947,3.63758615972639,1969,NA
"Amanita citrina",16187,0.818805214060666,9.69196372993396,1774,NA
"Amanita cokeri",356,0.662921348314607,5.87493073085203,1928,NA
"Amanita cokeriana",5,0.2,1.6094379124341,1948,NA
"Amanita constricta",313,0.884984025559105,5.74620319054015,1982,NA
"Amanita cothurnata",214,0.0327102803738318,5.36597601502185,1900,NA
"Amanita crassifoliata",3,0,1.09861228866811,1927,NA
"Amanita crenulata",206,0.800970873786408,5.32787616878958,1900,NA
"Amanita crocea",3878,0.819494584837545,8.2630748358026,1898,NA
"Amanita cylindrispora",41,0.439024390243902,3.71357206670431,1936,NA
"Amanita cylindrisporiformis",5,0,1.6094379124341,1945,NA
"Amanita cystidiosa",4,1,1.38629436111989,2000,NA
"Amanita daucipes",239,0.811715481171548,5.47646355193151,1856,NA
"Amanita decipiens",29,0.827586206896552,3.36729582998647,1970,NA
"Amanita dolichosporus",3,0,1.09861228866811,1928,NA
"Amanita echinocephala",386,0.709844559585492,5.95583736946483,1835,NA
"Amanita eliae",416,0.564903846153846,6.03068526026126,1872,NA
"Amanita elliptosperma",49,0.918367346938776,3.89182029811063,1909,NA
"Amanita elongata",123,0.959349593495935,4.81218435537242,1909,NA
"Amanita excelsa",7564,0.758593336858805,8.93115542977835,1801,NA
"Amanita farinosa",648,0.692901234567901,6.47389069635227,1822,"1"
"Amanita flavipes",103,0.650485436893204,4.63472898822964,1933,NA
"Amanita flavivolva",26,0.538461538461538,3.25809653802148,1953,NA
"Amanita flavoconia",3259,0.745627493096042,8.08917567883756,1902,"0"
"Amanita flavorubescens",346,0.234104046242775,5.84643877505772,1902,NA
"Amanita floccocephala",15,0,2.70805020110221,1903,NA
"Amanita floridana",3,0.333333333333333,1.09861228866811,1949,NA
"Amanita franchetii",1050,0.742857142857143,6.95654544315157,1881,NA
"Amanita fraterna",8,0,2.07944154167984,1941,NA
"Amanita frostiana",512,0.39453125,6.23832462503951,1883,NA
"Amanita fulva",15284,0.821185553520021,9.63456180856679,1774,NA
"Amanita gemmata",4785,0.720376175548589,8.47324130388705,1838,NA
"Amanita glabriceps",12,0,2.484906649788,1909,NA
"Amanita groenlandica",25,0.68,3.2188758248682,1987,NA
"Amanita gwyniana",1,1,0,1927,NA
"Amanita hemibapha",305,0.60327868852459,5.72031177660741,1870,NA
"Amanita hygroscopica",22,0.272727272727273,3.09104245335832,1917,NA
"Amanita illudens",6,0,1.79175946922805,1887,NA
"Amanita inodora",10,0.3,2.30258509299405,1946,NA
"Amanita jacksonii",1295,0.941312741312741,7.16626597413364,1980,NA
"Amanita komarekensis",5,0.6,1.6094379124341,1979,NA
"Amanita lanei",81,0.0864197530864197,4.39444915467244,1900,NA
"Amanita lavendula",109,0.706422018348624,4.69134788222914,1917,NA
"Amanita lepiotoides",36,0.333333333333333,3.58351893845611,1886,NA
"Amanita levistriata",30,0.9,3.40119738166216,1988,NA
"Amanita lignophila",26,0.846153846153846,3.25809653802148,1909,NA
"Amanita limbatula",4,0.5,1.38629436111989,1907,NA
"Amanita longipes",62,0.887096774193548,4.12713438504509,1985,NA
"Amanita longitibiale",3,0.333333333333333,1.09861228866811,1995,NA
"Amanita magnivelaris",122,0.352459016393443,4.80402104473326,1898,NA
"Amanita magniverrucata",253,0.889328063241107,5.53338948872752,1982,"0"
"Amanita malheurensis",12,0,2.484906649788,1990,"1"
"Amanita malodora",12,0,2.484906649788,1945,NA
"Amanita manicata",32,0.71875,3.46573590279973,1870,NA
"Amanita margarita",8,0,2.07944154167984,1945,NA
"Amanita marginata",5,0.6,1.6094379124341,1981,NA
"Amanita marmorata",99,0.848484848484849,4.59511985013459,1940,NA
"Amanita microlepis",14,0.285714285714286,2.63905732961526,1969,NA
"Amanita morrisii",22,0.636363636363636,3.09104245335832,1910,"1"
"Amanita multisquamosa",214,0.855140186915888,5.36597601502185,1901,NA
"Amanita murrilliana",36,0.805555555555556,3.58351893845611,1941,NA
"Amanita muscaria",56851,0.937169091132962,10.9481890891735,1753,"0"
"Amanita mutabilis",64,0.5,4.15888308335967,1919,NA
"Amanita nauseosa",64,0.671875,4.15888308335967,1918,NA
"Amanita neglecta",4,0,1.38629436111989,1951,NA
