acceptedName,specimenCount,propContemporary,yearPublished,medianPrediction,lower95ConfInt,upper95ConfInt
Strobilurus esculentus,5659,0.778,1781,0.02,0.005,0.061
Clitocybe costata,1571,0.825,1954,0.02,0.007,0.048
Collybiopsis quercophila,1116,0.845,1982,0.02,0.007,0.051
Apiosporina morbosa,4659,0.742,1822,0.02,0.006,0.05
Boletus pinophilus,3940,0.825,1835,0.02,0.007,0.046
Hypoxylon fuscum,6442,0.614,1787,0.02,0.004,0.065
Dacrymyces chrysospermus,4156,0.794,1832,0.02,0.007,0.046
Postia sericeomollis,2637,0.717,1911,0.02,0.008,0.046
Cortinarius bolaris,4935,0.794,1801,0.02,0.006,0.054
Fuscoporia ferruginosa,5929,0.66,1794,0.02,0.005,0.06
Diatrypella favacea,5414,0.73,1796,0.02,0.005,0.057
Entoloma sericeum,5422,0.76,1789,0.02,0.005,0.059
Russula densifolia,3586,0.674,1876,0.02,0.008,0.045
Pseudosperma rimosum,6610,0.637,1774,0.021,0.004,0.071
Mycena leptocephala,4953,0.784,1800,0.021,0.006,0.055
Russula rhodopus,2223,0.727,1928,0.021,0.008,0.047
Collybiopsis ramealis,5402,0.76,1788,0.021,0.005,0.06
Irpex lacteus,5867,0.538,1818,0.021,0.006,0.059
Calonarius odorifer,2612,0.868,1885,0.021,0.009,0.044
Chlorophyllum olivieri,2566,0.875,1886,0.021,0.009,0.044
Russula gracillima,2163,0.72,1931,0.021,0.008,0.049
Amanita regalis,4715,0.831,1797,0.021,0.006,0.057
Helvella lacunosa,6689,0.609,1774,0.021,0.004,0.074
Lactarius lignyotus,3885,0.69,1857,0.021,0.008,0.047
Cortinarius delibutus,4204,0.721,1838,0.021,0.007,0.048
Russula atropurpurea,3855,0.757,1845,0.021,0.008,0.047
Neoboletus erythropus,4502,0.87,1796,0.021,0.006,0.057
Pluteus atromarginatus,2311,0.771,1913,0.021,0.009,0.047
Cystoderma carcharias,5328,0.709,1797,0.021,0.006,0.059
Vitreoporus dichrous,5725,0.552,1815,0.022,0.006,0.061
Hygrocybe phaeococcinea,1006,0.901,1977,0.022,0.008,0.053
Lactarius pyrogalus,5023,0.778,1792,0.022,0.006,0.061
Ganoderma lucidum,7181,0.578,1761,0.022,0.004,0.084
Amanita battarrae,2902,0.82,1874,0.022,0.009,0.046
Geastrum fimbriatum,5239,0.697,1801,0.022,0.006,0.059
Lactarius alnicola,1157,0.929,1960,0.022,0.008,0.052
Russula favrei,1132,0.803,1979,0.022,0.008,0.055
Stropharia rugosoannulata,1884,0.843,1922,0.022,0.009,0.048
Clavaria fragilis,4767,0.825,1790,0.022,0.006,0.061
Otidea onotica,5041,0.75,1794,0.022,0.006,0.062
Lactarius zonarioides,1524,0.774,1953,0.022,0.009,0.053
Agrocybe praecox,6103,0.663,1774,0.022,0.005,0.074
Trichoderma asperellum,968,0.733,1999,0.022,0.007,0.061
Peniophorella praetermissa,3797,0.498,1889,0.022,0.008,0.056
Steccherinum ochraceum,6024,0.591,1792,0.022,0.005,0.068
Calonarius elegantior,1485,0.799,1952,0.022,0.009,0.053
Infundibulicybe geotropa,4738,0.809,1792,0.023,0.006,0.062
Tricholomopsis decora,4356,0.734,1821,0.023,0.007,0.055
Botryobasidium subcoronatum,3223,0.519,1907,0.023,0.008,0.056
Russula chloroides,3345,0.849,1843,0.023,0.009,0.049
Lyomyces sambuci,5488,0.647,1794,0.023,0.006,0.067
Amaropostia stiptica,5443,0.746,1774,0.023,0.005,0.074
Butyrea luteoalba,2484,0.82,1887,0.023,0.01,0.049
Hebeloma crustuliniforme,5587,0.66,1787,0.023,0.006,0.07
Gymnosporangium juniperi-virginianae,5054,0.573,1822,0.024,0.007,0.062
Hydnellum concrescens,5117,0.737,1786,0.024,0.006,0.069
Phlegmacium triumphans,3603,0.788,1838,0.024,0.009,0.052
Strobilomyces strobilaceus,5480,0.748,1770,0.024,0.005,0.077
Xeromphalina campanella,6252,0.619,1770,0.024,0.005,0.082
Tricholoma scalpturatum,3784,0.786,1830,0.024,0.009,0.054
Myxarium nucleatum,3840,0.814,1822,0.024,0.008,0.056
Postia ptychogaster,4035,0.878,1801,0.024,0.007,0.061
Leccinum cyaneobasileucum,691,0.961,1991,0.024,0.009,0.058
Cryptoporus volvatus,2880,0.757,1875,0.024,0.01,0.05
Cortinarius austrovenetus,1496,0.92,1928,0.024,0.01,0.052
Stereum complicatum,3832,0.77,1828,0.024,0.009,0.055
Russula xerampelina,6170,0.598,1774,0.024,0.005,0.083
Leucocybe connata,4381,0.777,1803,0.024,0.007,0.062
Hygrophorus erubescens,4081,0.749,1821,0.024,0.008,0.058
Lycoperdon pratense,5157,0.729,1782,0.025,0.006,0.073
Leucocoprinus birnbaumii,4209,0.893,1788,0.025,0.007,0.066
Panellus mitis,4414,0.802,1796,0.025,0.007,0.065
Chlorophyllum brunneum,1502,0.894,1929,0.025,0.01,0.053
Clavulinopsis corniculata,5534,0.802,1753,0.025,0.005,0.087
Mycetinis scorodonius,4511,0.679,1815,0.025,0.008,0.063
Cinereomyces lindbladii,3377,0.623,1872,0.025,0.01,0.055
Bulgaria inquinans,5293,0.723,1776,0.025,0.006,0.077
Lentinus arcularius,5680,0.624,1783,0.025,0.006,0.077
Incrustoporia chrysella,616,0.945,1998,0.025,0.009,0.061
Entoloma lividoalbum,1404,0.751,1954,0.025,0.01,0.059
Cortinarius brunneus,4759,0.696,1801,0.025,0.007,0.066
Clitocybe metachroa,3923,0.764,1821,0.025,0.009,0.059
Lophodermium pinastri,5220,0.62,1799,0.025,0.007,0.071
Lactarius subdulcis,5027,0.642,1801,0.025,0.007,0.069
Echinoderma asperum,4738,0.733,1793,0.025,0.007,0.069
Inocybe mixtilis,2681,0.72,1885,0.026,0.011,0.054
Psathyrella piluliformis,4964,0.735,1783,0.026,0.006,0.075
Clavulina rugosa,4709,0.785,1783,0.026,0.007,0.073
Exidia thuretiana,2968,0.85,1848,0.026,0.011,0.054
Russula risigallina,5212,0.709,1778,0.026,0.006,0.078
Hebeloma theobrominum,866,0.816,1986,0.026,0.009,0.063
Agaricus langei,1473,0.73,1950,0.026,0.01,0.06
